sample_id	Sra-acc
h100	SRR5528349
h132	SRR5528350
h133	SRR5528351
h121	SRR5528352
h123	SRR5528353
h124	SRR5528354
h125	SRR5528355
h117	SRR5528356
h118	SRR5528357
h119	SRR5528358
h120	SRR5528359
h103	SRR5528360
h17	SRR5528361
h18	SRR5528362
h19	SRR5528363
h20	SRR5528364
h12	SRR5528365
h13	SRR5528366
h14	SRR5528367
h16	SRR5528368
h21	SRR5528369
h22	SRR5528370
h105	SRR5528371
h24	SRR5528372
h23	SRR5528373
h26	SRR5528374
h25	SRR5528375
h28	SRR5528376
h27	SRR5528377
h30	SRR5528378
h29	SRR5528379
h32	SRR5528380
h31	SRR5528381
h50	SRR5528382
h49	SRR5528383
h48	SRR5528384
h47	SRR5528385
h46	SRR5528386
h45	SRR5528387
h44	SRR5528388
h43	SRR5528389
h52	SRR5528390
h51	SRR5528391
h2	SRR5528392
h3	SRR5528393
h4	SRR5528394
h5	SRR5528395
h6	SRR5528396
h7	SRR5528397
h8	SRR5528398
h9	SRR5528399
h10	SRR5528400
h11	SRR5528401
h104	SRR5528402
h35	SRR5528403
h36	SRR5528404
h33	SRR5528405
h34	SRR5528406
h39	SRR5528407
h40	SRR5528408
h37	SRR5528409
h38	SRR5528410
h41	SRR5528411
h42	SRR5528412
h112	SRR5528413
h53	SRR5528414
h54	SRR5528415
h55	SRR5528416
h56	SRR5528417
h57	SRR5528418
h58	SRR5528419
h59	SRR5528420
h60	SRR5528421
h61	SRR5528422
h62	SRR5528423
h107	SRR5528424
h111	SRR5528425
h108	SRR5528426
h72	SRR5528427
h71	SRR5528428
h68	SRR5528429
h67	SRR5528430
h70	SRR5528431
h69	SRR5528432
h64	SRR5528433
h63	SRR5528434
h66	SRR5528435
h65	SRR5528436
h137	SRR5528437
h136	SRR5528438
h135	SRR5528439
h134	SRR5528440
h142	SRR5528441
h141	SRR5528442
h140	SRR5528443
h138	SRR5528444
h116	SRR5528445
h115	SRR5528446
h81	SRR5528447
h99	SRR5528448
h79	SRR5528449
h80	SRR5528450
h77	SRR5528451
h78	SRR5528452
h75	SRR5528453
h76	SRR5528454
h73	SRR5528455
h74	SRR5528456
